Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
4/3/2024,7883,40,Female,21.77,6.02,8.25,10,75,168,7,11.63067177,9,5,9
11/30/2024,9313,45,Female,20.17,2.98,6.81,4,4,181,109,4.278892927,9,3,2
5/10/2024,7200,21,Male,21.6,6.93,9.33,1,79,138,147,4.531242828,6,2,1
11/25/2024,4597,52,Male,21.27,3.5,6.24,3,57,293,153,10.28235733,9,9,6
11/24/2024,2817,56,Male,22.68,3.52,4.84,2,67,276,158,8.163984774,5,7,10
7/20/2024,7575,25,Male,21.47,5.01,7.54,10,8,30,95,6.470274452,5,5,6
8/22/2024,3409,18,Male,20.27,3.69,7.42,2,36,161,172,10.39095854,5,3,2
3/19/2024,1064,27,Female,22.55,5.23,6.68,9,73,292,133,9.573826355,6,9,9
12/27/2024,7983,26,Female,21.3,2.31,5.01,4,63,154,134,5.174680891,8,3,4
7/31/2024,2962,59,Female,20.98,1.93,4.94,9,57,1,77,11.52434745,8,4,8
10/5/2024,2050,23,Female,21.73,5.43,7.7,3,49,123,18,5.419275761,6,2,8
7/19/2024,4832,52,Male,22.28,5.15,6.87,6,48,51,78,6.756495264,8,6,9
7/4/2024,1807,46,Male,21.4,2.94,5.54,10,85,43,4,4.650051336,4,9,5
3/18/2024,5805,23,Male,20.1,3.82,7.72,8,33,179,9,4.962025379,6,4,8
9/13/2024,2157,55,Male,23.03,7.44,8.41,8,41,136,80,9.003766494,6,10,8
11/13/2024,5438,36,Male,21.23,4.2,6.97,1,88,281,162,11.58866512,4,10,6
7/21/2024,5144,40,Male,23.5,6.96,7.46,10,36,186,127,8.898548981,10,6,5
6/12/2024,5187,41,Male,20.98,5.69,8.71,3,39,53,129,5.662165036,7,10,9
11/6/2024,7305,41,Female,23.58,7.89,8.31,1,40,37,165,4.715646512,6,9,4
4/11/2024,9568,30,Female,23.88,8.38,8.5,8,29,127,131,11.42443361,8,3,10
1/29/2024,9931,43,Female,20.32,3.09,6.77,1,57,282,169,10.16126569,9,2,5
11/14/2024,9980,57,Female,21.23,2.58,5.35,4,84,83,160,8.011976764,7,7,3
5/13/2024,4415,50,Male,21.25,4.08,6.83,9,52,268,121,6.665440491,3,9,10
